@relation yeast-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.RandomProjection-N7-R72-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute loc_site {MIT,NUC,CYT,ME1,EXC,ME2,ME3,VAC,POX,ERL}

@data
0.034641,-2.268987,-1.004589,-1.922576,-2.251666,0.640859,2.06114,MIT
-0.051962,-2.459512,-0.744782,-2.026499,-1.991858,0.398372,1.905256,MIT
-0.051962,-2.37291,-1.108513,-1.939897,-2.355589,0.606218,2.182384,MIT
-0.069282,-2.078461,-1.004589,-1.628128,-2.251666,0.640859,1.766692,NUC
0.034641,-1.974538,-0.727461,-1.628128,-1.974538,-0.069282,1.489564,MIT
0.017321,-1.922576,-0.883346,-2.424871,-1.264397,0.571577,2.442192,CYT
-0.051962,-2.234346,-0.866025,-1.801333,-2.113102,-0.259808,1.801333,MIT
-0.138564,-2.37291,-0.831384,-1.645448,-2.286307,0.519615,1.610807,NUC
0.017321,-2.095781,-0.952628,-1.732051,-2.199705,0.242487,1.818653,MIT
-0.138564,-2.199705,-0.69282,-1.541525,-2.078461,0.606218,1.36832,CYT
-0.051962,-2.06114,-0.744782,-1.541525,-2.078461,0.502295,1.420282,NUC
-0.034641,-2.04382,-0.727461,-1.506884,-2.095781,0.519615,1.36832,NUC
-0.051962,-2.078461,-0.69282,-1.593487,-1.991858,0.259808,1.420282,CYT
-0.051962,-1.991858,-1.03923,-1.558846,-2.286307,0.069282,1.732051,MIT
0.069282,-2.130422,-1.143154,-1.818653,-2.39023,0.536936,2.095781,MIT
0,-2.009179,-0.796743,-1.628128,-2.04382,0.6755,1.558846,CYT
0.017321,-2.217025,-0.814064,-1.541525,-2.37291,0.6755,1.489564,CYT
-0.017321,-2.147743,-1.004589,-1.680089,-2.320948,0.6755,1.818653,NUC
0.017321,-1.818653,-0.866025,-1.454923,-2.113102,0.502295,1.454923,NUC
0,-2.338269,-1.056551,-1.905256,-2.355589,0.502295,2.095781,NUC
0,-1.939897,-0.779423,-1.558846,-2.026499,0.588897,1.472243,CYT
-0.017321,-2.026499,-0.744782,-1.628128,-1.991858,0.484974,1.506884,CYT
0.017321,-2.320948,-1.264397,-1.957217,-2.511474,0.34641,2.355589,CYT
-0.086603,-2.251666,-0.744782,-1.784012,-1.991858,0.640859,1.662769,CYT
-0.138564,-2.303628,-0.796743,-1.784012,-2.04382,0.606218,1.71473,CYT
-0.069282,-2.199705,-0.883346,-1.749371,-2.130422,-0.017321,1.766692,MIT
-0.155885,-2.268987,-1.02191,-1.645448,-2.355589,0.536936,1.801333,CYT
-0.017321,-2.078461,-0.987269,-1.680089,-2.234346,0.554256,1.801333,CYT
0.017321,-2.39023,-1.091192,-2.026499,-2.338269,0.450333,2.251666,MIT
-0.103923,-3.06573,-1.385641,-2.39023,-2.823243,0.190526,2.909845,ME1
-0.121244,-2.476833,-0.917987,-1.801333,-2.338269,0.69282,1.853294,NUC
-0.034641,-2.165064,-0.883346,-1.749371,-2.130422,-0.640859,1.766692,MIT
-0.051962,-2.788602,-0.658179,-1.922576,-2.338269,0.658179,1.71473,CYT
-0.017321,-2.217025,-0.571577,-1.818653,-1.818653,0.121244,1.524205,NUC
