@relation yeast-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.RandomProjection-N7-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute loc_site {MIT,NUC,CYT,ME1,EXC,ME2,ME3,VAC,POX,ERL}

@data
1.420282,0.381051,0.173205,0.866025,-0.831384,2.875204,0,MIT
1.680089,0.381051,-0.173205,0.866025,-0.917987,2.73664,0,MIT
1.489564,0.381051,0.190526,0.866025,-0.917987,3.031089,0,MIT
1.593487,0.381051,0.069282,0.866025,-0.935307,2.753961,0,NUC
2.147743,0.381051,-0.103923,0.866025,-0.831384,2.320948,0,MIT
1.645448,1.247077,0.034641,0.866025,-0.848705,2.546115,0,CYT
2.338269,0.381051,-0.051962,0.866025,-0.917987,2.632717,0,MIT
1.957217,0.588897,-0.173205,0.866025,-1.004589,2.632717,0,NUC
2.147743,0.381051,0.103923,0.866025,-0.848705,2.961807,0,MIT
1.818653,0.519615,-0.311769,0.866025,-1.004589,2.407551,0,CYT
1.766692,0.467654,-0.173205,0.866025,-0.917987,2.355589,0,NUC
1.870615,0.502295,-0.173205,0.866025,-0.900666,2.39023,0,NUC
2.026499,0.433013,-0.225167,0.866025,-0.917987,2.407551,0,CYT
2.078461,0.381051,0.121244,0.866025,-0.917987,2.632717,0,MIT
1.489564,0.381051,0.34641,0.866025,-0.796743,2.875204,0,MIT
1.472243,0.381051,-0.069282,0.866025,-0.866025,2.459512,0,CYT
1.749371,0.69282,-0.034641,0.866025,-0.848705,2.355589,0,CYT
1.576166,0.450333,0.121244,0.866025,-0.883346,2.753961,0,NUC
1.69741,0.381051,0.017321,0.866025,-0.848705,2.407551,0,NUC
1.749371,0.433013,0.190526,0.866025,-0.866025,3.048409,0,NUC
1.524205,0.381051,-0.086603,0.866025,-0.866025,2.338269,0,CYT
1.593487,0.381051,-0.138564,0.866025,-0.883346,2.338269,0,CYT
1.628128,0.381051,0.415692,0.866025,-0.848705,3.08305,0,CYT
1.506884,0.381051,-0.207846,0.866025,-0.952628,2.563435,0,CYT
1.541525,0.381051,-0.207846,0.866025,-1.004589,2.615397,0,CYT
2.165064,0.381051,-0.051962,0.866025,-0.935307,2.667358,0,MIT
1.71473,0.467654,0,0.866025,-1.02191,2.71932,0,CYT
1.732051,0.381051,0.103923,0.866025,-0.883346,2.840563,0,CYT
1.784012,0.381051,0.242487,0.866025,-0.848705,3.238935,0,MIT
1.870615,0.571577,0.415692,0.866025,-0.969948,3.533384,0,ME1
1.472243,0.554256,-0.069282,0.866025,-0.987269,2.598076,0,NUC
2.632717,0.381051,-0.017321,0.866025,-0.900666,2.511474,0,MIT
2.078461,0.814064,-0.259808,0.866025,-0.917987,2.771281,0,CYT
2.009179,0.381051,-0.311769,0.866025,-0.883346,2.407551,0,NUC
1.558846,0.381051,0.606218,0.866025,-0.744782,3.360179,0,ME1
1.784012,0.381051,0.554256,0.866025,-0.727461,3.256256,0,EXC
1.732051,0.433013,0.311769,0.866025,-0.935307,3.08305,0,MIT
1.749371,0.450333,-0.277128,0.866025,-0.969948,2.459512,0,CYT
1.887935,0.381051,0.155885,0.866025,-0.866025,2.684679,0,MIT
1.887935,0.381051,0.069282,0.866025,-0.917987,2.823243,0,MIT
1.472243,0.381051,0.554256,0.866025,-0.935307,3.342858,0,ME2
1.957217,0.381051,0.536936,0.866025,-0.952628,3.654627,0,ME2
1.576166,0.381051,0.34641,0.866025,-1.02191,3.06573,0,ME2
1.402961,0.381051,-0.173205,0.866025,-0.883346,2.320948,0,ME3
1.732051,0.450333,-0.190526,0.866025,-0.831384,2.234346,0,VAC
2.320948,0.640859,0.103923,0.866025,-0.814064,2.459512,0,NUC
2.424871,0.606218,0.588897,0.866025,-0.69282,3.585345,0,ME2
1.784012,0.381051,0.017321,0.866025,-0.831384,2.424871,0,EXC
1.749371,0.381051,0.277128,0.866025,-1.004589,3.152332,0,VAC
1.247077,0.381051,-0.138564,0.866025,-0.866025,1.732051,0,ME3
1.732051,0.484974,-0.069282,0.866025,-0.900666,2.39023,0,CYT
2.165064,1.143154,-0.190526,0.866025,-0.900666,2.407551,0,ME3
2.355589,0.658179,-0.173205,0.866025,-0.952628,2.528794,0,NUC
1.853294,0.381051,0.086603,0.866025,-0.883346,2.805922,0,CYT
1.749371,0.381051,0.311769,0.866025,-0.796743,3.100371,0,CYT
1.732051,0.381051,0.32909,0.866025,-0.779423,3.048409,0,CYT
1.402961,0.381051,0.294449,0.866025,-0.848705,3.06573,0,CYT
1.835974,0.381051,-0.034641,0.866025,-0.952628,2.563435,0,CYT
1.628128,0.381051,-0.207846,0.866025,-0.866025,2.424871,0,CYT
2.37291,0.381051,-0.121244,0.866025,-0.900666,2.615397,0,MIT
2.182384,0.381051,-0.190526,0.866025,-0.935307,2.251666,0,MIT
1.558846,0.433013,-0.138564,0.866025,-0.779423,2.009179,0,NUC
2.182384,0.744782,-0.069282,0.866025,-0.900666,2.459512,0,NUC
1.818653,0.467654,-0.294449,0.866025,-1.004589,2.528794,0,NUC
1.36832,0.467654,0.034641,0.866025,-0.900666,2.528794,0,CYT
1.662769,0.502295,0.155885,0.866025,-0.883346,2.632717,0,CYT
1.524205,0.381051,-0.363731,0.866025,-0.952628,2.37291,0,CYT
1.541525,0.381051,-0.051962,0.866025,-0.883346,2.71932,0,CYT
1.662769,0.381051,-0.173205,0.866025,-0.987269,2.511474,0,CYT
1.835974,0.381051,0.433013,0.866025,-0.969948,3.689268,0,EXC
1.69741,0.381051,-0.138564,0.866025,-0.969948,2.459512,0,CYT
1.818653,0.502295,0.017321,0.866025,-0.987269,2.73664,0,CYT
2.199705,0.381051,0.225167,0.866025,-0.814064,2.667358,0,MIT
2.459512,0.381051,-0.034641,0.866025,-0.814064,2.667358,0,MIT
1.784012,0.381051,0.034641,0.866025,-0.762102,2.650038,0,MIT
2.355589,0.433013,0.121244,0.866025,-0.727461,2.546115,0,MIT
2.009179,0.381051,0.225167,0.866025,-0.866025,2.944486,0,MIT
2.320948,0.467654,-0.017321,0.866025,-0.883346,2.71932,0,MIT
2.095781,0.381051,0.433013,0.866025,-0.658179,3.100371,0,MIT
2.113102,0.381051,-0.086603,0.866025,-0.831384,2.615397,0,MIT
2.199705,0.381051,-0.086603,0.866025,-0.917987,2.563435,0,MIT
1.974538,0.381051,0.069282,0.866025,-0.796743,2.667358,0,MIT
2.407551,0.381051,-0.121244,0.866025,-1.004589,2.857884,0,MIT
2.113102,0.381051,0.138564,0.866025,-0.796743,2.927166,0,MIT
1.818653,1.818653,0.294449,0.866025,-0.866025,2.927166,0,MIT
0.969948,0.381051,-0.398372,0.866025,-0.883346,1.853294,0,ME3
1.264397,0.381051,-0.277128,0.866025,-0.952628,2.04382,0,ME3
1.662769,0.381051,0.502295,0.866025,-0.883346,3.256256,0,EXC
2.147743,0.606218,-0.017321,0.866025,-0.883346,2.788602,0,NUC
2.165064,0.554256,-0.190526,0.866025,-0.917987,2.442192,0,CYT
2.442192,0.571577,-0.259808,0.866025,-0.883346,2.494153,0,CYT
1.662769,0.467654,-0.103923,0.866025,-0.900666,2.268987,0,MIT
1.69741,0.381051,-0.086603,0.866025,-0.779423,2.442192,0,CYT
2.286307,0.900666,-0.32909,0.866025,-0.900666,2.424871,0,NUC
1.766692,0.484974,-0.017321,0.866025,-0.866025,2.753961,0,CYT
1.472243,0.381051,-0.086603,0.866025,-0.744782,2.165064,0,ME3
1.905256,0.381051,0.398372,0.866025,-0.796743,3.308217,0,EXC
1.628128,0.381051,0.051962,0.866025,-1.004589,2.979127,0,MIT
1.558846,0.381051,0.433013,0.866025,-0.917987,3.342858,0,MIT
1.835974,0.381051,0.467654,0.866025,-0.640859,3.08305,0,CYT
1.402961,0.381051,-0.138564,0.866025,-0.762102,2.234346,0,ME3
1.264397,0.381051,-0.225167,0.866025,-0.848705,2.04382,0,ME3
1.939897,0.381051,0.103923,0.866025,-0.710141,2.580756,0,CYT
2.268987,0.814064,0,0.866025,-0.831384,2.217025,0,NUC
1.749371,0.381051,0,0.866025,-0.814064,2.442192,0,CYT
1.281718,0.381051,-0.138564,0.866025,-0.900666,2.407551,0,ME3
1.628128,0.381051,-0.242487,0.866025,-0.969948,2.268987,0,CYT
1.645448,0.381051,-0.34641,0.866025,-0.866025,2.442192,0,CYT
1.558846,0.381051,0.086603,0.866025,-1.03923,3.152332,0,CYT
1.610807,0.381051,-0.484974,0.866025,-0.952628,2.338269,0,CYT
2.130422,1.333679,-0.086603,0.866025,-0.866025,2.355589,0,POX
1.489564,0.381051,-0.121244,0.866025,-0.883346,2.37291,0,NUC
2.268987,0.952628,-0.311769,0.866025,-0.831384,2.06114,0,NUC
2.130422,0.467654,-0.155885,0.866025,-0.848705,2.303628,0,NUC
2.875204,1.732051,-0.121244,0.866025,-0.900666,2.528794,0,NUC
2.286307,0.381051,-0.069282,0.866025,-0.848705,2.424871,0,MIT
2.06114,0.381051,0.207846,0.866025,-0.814064,3.152332,0,MIT
2.199705,0.381051,-0.017321,0.866025,-0.831384,2.615397,0,MIT
1.593487,0.381051,0.155885,0.866025,-0.450333,2.338269,0,MIT
1.974538,0.381051,-0.103923,0.866025,-0.917987,2.667358,0,MIT
1.36832,0.381051,0.225167,0.866025,-0.883346,2.684679,0,MIT
2.130422,0.381051,0.051962,0.866025,-0.900666,2.823243,0,MIT
2.06114,0.381051,0.242487,0.866025,-0.917987,3.169653,0,MIT
2.130422,0.536936,0.103923,0.866025,-0.917987,2.909845,0,MIT
1.506884,0.381051,0,0.866025,-0.935307,2.476833,0,ME3
1.610807,0.381051,0.173205,0.866025,-0.831384,3.013768,0,MIT
1.662769,0.467654,-0.207846,0.866025,-0.900666,2.268987,0,NUC
2.130422,0.381051,-0.121244,0.866025,-0.917987,2.857884,0,MIT
1.472243,0.433013,0.138564,0.866025,-0.779423,2.753961,0,NUC
2.580756,0.744782,-0.121244,0.866025,-0.831384,2.424871,0,CYT
1.628128,0.381051,0.051962,0.866025,-0.814064,2.961807,0,CYT
1.974538,0.536936,-0.155885,0.866025,-0.848705,2.667358,0,CYT
1.870615,0.450333,0.32909,0.866025,-0.710141,2.892525,0,CYT
2.095781,0.467654,0.138564,0.866025,-0.935307,2.857884,0,NUC
1.593487,0.381051,-0.277128,0.866025,-0.883346,2.546115,0,NUC
1.766692,0.536936,-0.34641,0.866025,-0.935307,2.39023,0,CYT
2.338269,1.02191,-0.259808,0.866025,-0.935307,2.546115,0,ME3
1.541525,0.381051,-0.086603,0.866025,-0.917987,2.632717,0,NUC
1.784012,0.519615,-0.363731,0.866025,-0.866025,2.06114,0,CYT
2.009179,0.381051,-0.277128,0.866025,-1.091192,2.476833,0,NUC
