@relation yeast-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.RandomProjection-N7-R82-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute loc_site {MIT,NUC,CYT,ME1,EXC,ME2,ME3,VAC,POX,ERL}

@data
-1.056551,0.848705,-0.225167,0,-0.866025,-1.887935,-0.225167,MIT
-1.160474,0.779423,-0.467654,0,-0.866025,-2.078461,-0.467654,MIT
-1.073872,0.796743,-0.259808,0,-0.866025,-1.991858,-0.259808,MIT
-0.762102,0.917987,-0.225167,0,-0.866025,-1.69741,-0.225167,NUC
-0.762102,0.866025,-0.935307,0,-0.866025,-1.593487,-0.935307,MIT
0.173205,0.987269,-1.160474,0.866025,-0.866025,-1.541525,-0.294449,CYT
-0.935307,0.779423,-1.125833,0,-0.866025,-1.853294,-1.125833,MIT
-0.779423,0.883346,-0.34641,0,-0.866025,-1.784012,-0.34641,NUC
-0.866025,1.160474,-0.623538,0,-0.866025,-1.71473,-0.623538,MIT
-0.6755,0.900666,-0.259808,0,-0.866025,-1.680089,-0.259808,CYT
-0.6755,0.883346,-0.363731,0,-0.866025,-1.593487,-0.363731,NUC
-0.640859,0.987269,-0.34641,0,-0.866025,-1.541525,-0.34641,NUC
-0.727461,0.935307,-0.606218,0,-0.866025,-1.645448,-0.606218,CYT
-0.69282,0.848705,-0.796743,0,-0.866025,-1.610807,-0.796743,MIT
-0.952628,0.848705,-0.32909,0,-0.866025,-1.749371,-0.32909,MIT
-0.762102,0.900666,-0.190526,0,-0.866025,-1.628128,-0.190526,CYT
-0.6755,0.883346,-0.190526,0,-0.866025,-1.524205,-0.190526,CYT
-0.814064,0.917987,-0.190526,0,-0.866025,-1.69741,-0.190526,NUC
-0.588897,0.969948,-0.363731,0,-0.866025,-1.437602,-0.363731,NUC
-1.03923,0.952628,-0.363731,0,-0.866025,-1.905256,-0.363731,NUC
-0.69282,0.866025,-0.277128,0,-0.866025,-1.558846,-0.277128,CYT
-0.762102,0.814064,-0.381051,0,-0.866025,-1.645448,-0.381051,CYT
-1.091192,0.744782,-0.519615,0,-0.866025,-1.939897,-0.519615,CYT
-0.917987,0.814064,-0.225167,0,-0.866025,-1.870615,-0.225167,CYT
-0.917987,0.762102,-0.259808,0,-0.866025,-1.922576,-0.259808,CYT
-0.883346,0.831384,-0.883346,0,-0.866025,-1.818653,-0.883346,MIT
-0.779423,0.762102,-0.32909,0,-0.866025,-1.801333,-0.32909,CYT
-0.814064,1.02191,-0.311769,0,-0.866025,-1.69741,-0.311769,CYT
-1.160474,1.004589,-0.415692,0,-0.866025,-2.009179,-0.415692,MIT
-1.524205,0.519615,-0.6755,0,-0.866025,-2.494153,-0.6755,ME1
-0.935307,0.623538,-0.173205,0,-0.866025,-1.922576,-0.173205,NUC
-0.883346,0.710141,-1.506884,0,-0.866025,-1.784012,-1.506884,MIT
-1.056551,1.004589,-0.207846,0,-0.866025,-1.974538,-0.207846,CYT
-0.952628,0.866025,-0.744782,0,-0.866025,-1.835974,-0.744782,NUC
-1.281718,0.848705,-0.450333,0,-0.866025,-2.026499,-0.450333,ME1
-1.160474,0.952628,-0.588897,0,-0.866025,-1.887935,-0.588897,EXC
-1.056551,0.710141,-0.519615,0,-0.866025,-1.991858,-0.519615,MIT
-0.779423,0.883346,-0.311769,0,-0.866025,-1.749371,-0.311769,CYT
-0.917987,0.744782,-0.762102,0,-0.866025,-1.784012,-0.762102,MIT
-0.917987,0.866025,-0.588897,0,-0.866025,-1.835974,-0.588897,MIT
-1.177795,0.606218,-0.415692,0,-0.866025,-2.113102,-0.415692,ME2
-1.281718,0.796743,-0.69282,0,-0.866025,-2.234346,-0.69282,ME2
-0.987269,0.554256,-0.484974,0,-0.866025,-2.009179,-0.484974,ME2
-0.935307,0.658179,-0.34641,0,-0.866025,-1.818653,-0.34641,ME3
-0.623538,1.004589,-0.311769,0,-0.866025,-1.454923,-0.311769,VAC
-0.536936,1.056551,-0.6755,0,-0.866025,-1.351,-0.6755,NUC
-1.299038,1.177795,-0.814064,0,-0.866025,-1.991858,-0.814064,ME2
-0.6755,0.935307,-0.502295,0,-0.866025,-1.506884,-0.502295,EXC
